date,year,month,month_name,quarter,week,day_of_week,is_weekend
2017-01-03 21:15:19,2017,1,January,1,1,Tuesday,False
2017-01-04 21:15:19,2017,1,January,1,1,Wednesday,False
2017-01-05 21:15:19,2017,1,January,1,1,Thursday,False
2017-01-06 21:15:19,2017,1,January,1,1,Friday,False
2017-01-07 21:15:19,2017,1,January,1,1,Saturday,True
2017-01-08 21:15:19,2017,1,January,1,1,Sunday,True
2017-01-09 21:15:19,2017,1,January,1,2,Monday,False
2017-01-10 21:15:19,2017,1,January,1,2,Tuesday,False
2017-01-11 21:15:19,2017,1,January,1,2,Wednesday,False
2017-01-12 21:15:19,2017,1,January,1,2,Thursday,False
2017-01-13 21:15:19,2017,1,January,1,2,Friday,False
2017-01-14 21:15:19,2017,1,January,1,2,Saturday,True
2017-01-15 21:15:19,2017,1,January,1,2,Sunday,True
2017-01-16 21:15:19,2017,1,January,1,3,Monday,False
2017-01-17 21:15:19,2017,1,January,1,3,Tuesday,False
2017-01-18 21:15:19,2017,1,January,1,3,Wednesday,False
2017-01-19 21:15:19,2017,1,January,1,3,Thursday,False
2017-01-20 21:15:19,2017,1,January,1,3,Friday,False
2017-01-21 21:15:19,2017,1,January,1,3,Saturday,True
2017-01-22 21:15:19,2017,1,January,1,3,Sunday,True
2017-01-23 21:15:19,2017,1,January,1,4,Monday,False
2017-01-24 21:15:19,2017,1,January,1,4,Tuesday,False
2017-01-25 21:15:19,2017,1,January,1,4,Wednesday,False
2017-01-26 21:15:19,2017,1,January,1,4,Thursday,False
2017-01-27 21:15:19,2017,1,January,1,4,Friday,False
2017-01-28 21:15:19,2017,1,January,1,4,Saturday,True
2017-01-29 21:15:19,2017,1,January,1,4,Sunday,True
2017-01-30 21:15:19,2017,1,January,1,5,Monday,False
2017-01-31 21:15:19,2017,1,January,1,5,Tuesday,False
2017-02-01 21:15:19,2017,2,February,1,5,Wednesday,False
2017-02-02 21:15:19,2017,2,February,1,5,Thursday,False
2017-02-03 21:15:19,2017,2,February,1,5,Friday,False
2017-02-04 21:15:19,2017,2,February,1,5,Saturday,True
2017-02-05 21:15:19,2017,2,February,1,5,Sunday,True
2017-02-06 21:15:19,2017,2,February,1,6,Monday,False
2017-02-07 21:15:19,2017,2,February,1,6,Tuesday,False
2017-02-08 21:15:19,2017,2,February,1,6,Wednesday,False
2017-02-09 21:15:19,2017,2,February,1,6,Thursday,False
2017-02-10 21:15:19,2017,2,February,1,6,Friday,False
2017-02-11 21:15:19,2017,2,February,1,6,Saturday,True
2017-02-12 21:15:19,2017,2,February,1,6,Sunday,True
2017-02-13 21:15:19,2017,2,February,1,7,Monday,False
2017-02-14 21:15:19,2017,2,February,1,7,Tuesday,False
2017-02-15 21:15:19,2017,2,February,1,7,Wednesday,False
2017-02-16 21:15:19,2017,2,February,1,7,Thursday,False
2017-02-17 21:15:19,2017,2,February,1,7,Friday,False
2017-02-18 21:15:19,2017,2,February,1,7,Saturday,True
2017-02-19 21:15:19,2017,2,February,1,7,Sunday,True
2017-02-20 21:15:19,2017,2,February,1,8,Monday,False
2017-02-21 21:15:19,2017,2,February,1,8,Tuesday,False
2017-02-22 21:15:19,2017,2,February,1,8,Wednesday,False
2017-02-23 21:15:19,2017,2,February,1,8,Thursday,False
2017-02-24 21:15:19,2017,2,February,1,8,Friday,False
2017-02-25 21:15:19,2017,2,February,1,8,Saturday,True
2017-02-26 21:15:19,2017,2,February,1,8,Sunday,True
2017-02-27 21:15:19,2017,2,February,1,9,Monday,False
2017-02-28 21:15:19,2017,2,February,1,9,Tuesday,False
2017-03-01 21:15:19,2017,3,March,1,9,Wednesday,False
2017-03-02 21:15:19,2017,3,March,1,9,Thursday,False
2017-03-03 21:15:19,2017,3,March,1,9,Friday,False
2017-03-04 21:15:19,2017,3,March,1,9,Saturday,True
2017-03-05 21:15:19,2017,3,March,1,9,Sunday,True
2017-03-06 21:15:19,2017,3,March,1,10,Monday,False
2017-03-07 21:15:19,2017,3,March,1,10,Tuesday,False
2017-03-08 21:15:19,2017,3,March,1,10,Wednesday,False
2017-03-09 21:15:19,2017,3,March,1,10,Thursday,False
2017-03-10 21:15:19,2017,3,March,1,10,Friday,False
2017-03-11 21:15:19,2017,3,March,1,10,Saturday,True
2017-03-12 21:15:19,2017,3,March,1,10,Sunday,True
2017-03-13 21:15:19,2017,3,March,1,11,Monday,False
2017-03-14 21:15:19,2017,3,March,1,11,Tuesday,False
2017-03-15 21:15:19,2017,3,March,1,11,Wednesday,False
2017-03-16 21:15:19,2017,3,March,1,11,Thursday,False
2017-03-17 21:15:19,2017,3,March,1,11,Friday,False
